subject,session,trial,n_channels_used,result,forcedresult,artifact,triallength,targetnumber,tasknumber,runnumber,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation
3,1,0,10,nan,0.0,0.0,6.04,1.0,1.0,1.0,2.295270143484429,1.2617963820679121,1.572333197701484,0.01895489906212973,0.7886088774512536,20.040786480857122,0.4743919329824994,0.2960761756858763,0.028552904108426716,0.021187052195753647,0.02486997815209018,0.14808722121965376
3,1,1,10,0.0,0.0,0.0,5.8,2.0,1.0,1.0,1.8755240904129562,0.8401077700150509,1.4589401806088176,0.05580426154536261,0.6341005230855199,30.902487734502316,0.5850956121377888,0.49894318495212486,0.055697268514498244,0.06424240274706998,0.05996983563078411,-0.07124526974845743
3,1,2,10,nan,1.0,0.0,6.04,1.0,1.0,1.0,1.6193503290290336,-1.60098315506213,1.5481954005961565,0.13006572066462718,0.5143180913430627,24.956022774814986,0.6773151228193973,0.35364654318035227,0.12079715708936814,0.13933428423988622,0.13006572066462718,-0.0712606175393278
3,1,3,10,nan,0.0,0.0,6.04,2.0,1.0,1.0,1.7099774135346468,2.0924001702748294,1.386055247187296,0.07109777741308161,0.6382649146850177,23.769355756499287,0.5831688096754226,0.3509050971091867,0.0976243648384029,0.04457118998776032,0.07109777741308161,0.3731000938496361
3,1,4,10,1.0,1.0,0.0,5.12,2.0,1.0,1.0,1.313587093962643,1.8515138174999843,1.5778613597609628,0.13416069452418436,0.39494286527089173,24.505636970797042,0.7525259703932276,0.29333472961471085,0.1076213932738044,0.1606999957745643,0.13416069452418436,-0.19781726193729468
3,1,5,10,0.0,0.0,0.0,1.12,1.0,1.0,1.0,1.5477724318221302,2.77778875542851,1.33329589515164,0.1062892218360558,0.5300734319452776,31.513762085905835,0.6704082177309455,0.2905932835435453,0.20776850321652593,0.10171806961661933,0.15474328641657265,0.34266570154913306
3,1,6,10,nan,0.0,0.0,6.04,2.0,1.0,1.0,1.4825805781656842,1.7366631026513555,1.4734933951961255,0.11593164165978509,0.49951236965126633,27.201211267996698,0.6722946263048928,0.27140316104538664,0.2131564673581881,0.16268251891060612,0.1879194931343971,0.13429673421767854
3,1,7,10,nan,0.0,0.0,6.04,1.0,1.0,1.0,1.4715535737571797,1.7748992561401455,1.6325056379452405,0.11499219378812475,0.6013379589172254,20.298028532411468,0.5807194646405562,0.2494715924760625,0.25507013952823565,0.1359122841606519,0.1954912118444438,0.3047652481237878
3,1,8,10,1.0,1.0,0.0,0.76,2.0,1.0,1.0,1.1473512103826211,2.565111947627054,1.6103631554027436,0.140491706442017,0.44056405436970547,23.014220333380678,0.6848339757155182,0.23576436212023485,0.16179874752912837,0.11918466535490563,0.140491706442017,0.15166049033581283
3,1,9,10,0.0,0.0,0.0,4.84,1.0,1.0,1.0,1.7233321067857874,2.6986690333010857,1.727324955257165,0.07253254023527757,0.5951420370679206,25.646147603373098,0.6471876757352889,0.3070419599705384,0.044437361987726694,0.10062771848282843,0.07253254023527757,-0.3873458472075717
