subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A10,A,CE,ok,,27,512,61440,0.285456,0.310868,0.244016,0.929168,1.05973,1.14051,0.0231553,0.353797,11,1.17114
A13,A,CE,ok,,27,512,61440,0.247526,0.23178,0.189811,0.895325,1.05887,1.18266,0.139513,0.386157,10,1.0755
A16,A,CE,ok,,27,512,61440,0.0231216,0.085264,0.0145037,0.866288,1.14175,1.31798,0.0982965,0.617211,11,0.119868
A19,A,CE,ok,,27,512,61440,0.0643112,0.118772,0.0432672,0.955451,1.0412,1.08975,0.118171,0.403667,11,0.873296
A21,A,CE,ok,,27,512,61440,0.0830281,0.117478,0.0520777,1.01672,1.07303,1.05539,0.188863,0.455146,10,0.987631
A24,A,CE,ok,,27,512,61440,0.116752,0.112398,0.0831214,0.895791,1.11449,1.24414,0.0942369,0.520986,10,1.21065
A27,A,CE,ok,,27,512,61440,0.0291242,0.0917325,0.0193586,0.964513,1.04837,1.08694,0.159263,0.440949,10,0.502122
A3,A,CE,ok,,27,512,61440,0.163686,0.20983,0.131028,0.894998,1.05298,1.17651,0.0729518,0.393944,10,0.805576
A32,A,CE,ok,,27,512,61440,0.313787,0.230534,0.232407,0.972884,1.03301,1.0618,0.043079,0.345376,11,0.79745
A35,A,CE,ok,,27,512,61440,0.178585,0.174731,0.136344,0.921083,1.04019,1.12932,0.152522,0.342404,11,1.00011
A38,A,CE,ok,,27,512,61440,0.0140796,0.0561615,0.00557414,1.01983,1.54125,1.51129,0.210995,1.02921,10,1.03848
A40,A,CE,ok,,27,512,61440,0.0515017,0.0967586,0.036045,0.90114,1.11678,1.2393,0.122658,0.456573,10,1.08066
A43,A,CE,ok,,27,512,61440,0.190104,0.0711955,0.0945636,0.98686,1.14558,1.16084,0.225883,0.608937,12,0.63539
A46,A,CE,ok,,27,512,61440,0.0617161,0.0788113,0.0394054,0.920054,1.06254,1.15487,0.178093,0.425958,10,0.933511
A49,A,CE,ok,,27,512,61440,0.0435269,0.0368299,0.0201042,0.963271,1.46524,1.52111,0.109178,1.00967,10,0.617977
A51,A,CE,ok,,27,512,61440,0.227648,0.212138,0.165162,0.918109,1.04708,1.14048,0.0887533,0.41497,9,0.911368
A54,A,CE,ok,,27,512,61440,0.0750123,0.124997,0.0415146,1.04549,1.10124,1.05333,0.121337,0.592387,8,1.01365
A57,A,CE,ok,,27,512,61440,0.0401398,0.183596,0.0302026,0.800519,1.15354,1.44099,0.0883204,0.514153,10,1.15557
A6,A,CE,ok,,27,512,61440,0.110889,0.116493,0.0719105,0.904245,1.11146,1.22916,0.14833,0.499986,9,1.41322
A8,A,CE,ok,,27,512,61440,0.0304871,0.0391535,0.0178087,0.836444,1.24364,1.48681,0.238956,0.674736,11,0.8092
B62,B,CE,ok,,27,512,61440,0.310695,0.323698,0.240571,1.02306,1.02109,0.998079,0.0794556,0.280122,10,1.10221
B65,B,CE,ok,,27,512,61440,0.561089,0.506563,0.491595,0.999866,0.986922,0.987055,0.0553553,0.132169,9,1.21595
B68,B,CE,ok,,27,512,61440,0.264819,0.284079,0.203804,1.03414,1.01068,0.977312,0.0668051,0.283866,11,0.797652
B71,B,CE,ok,,27,512,61440,0.19185,0.0615959,0.100954,0.938038,0.85017,0.906327,0.136554,0.352816,13,0.373794
B74,B,CE,ok,,27,512,61440,0.2286,0.328732,0.185578,0.936406,1.01904,1.08824,0.0247376,0.308181,9,0.953949
B77,B,CE,ok,,27,512,61440,0.0276793,0.0541045,0.01568,0.944454,1.01264,1.07219,0.185481,0.569998,7,0.180157
B80,B,CE,ok,,27,512,61440,0.431063,0.410764,0.370529,0.981147,1.01521,1.03472,0.0408382,0.244423,10,1.01452
C83,C,CE,ok,,27,512,61440,0.344288,0.339791,0.282245,0.989813,1.00202,1.01233,0.0479665,0.23881,10,0.82
C86,C,CE,ok,,27,512,61440,0.348147,0.350091,0.273761,1.01527,1.00745,0.992292,0.0664697,0.260453,8,0.85005
