subject,session,n_epochs,n_channels_used,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
1,1,120,62,0.06268586110159287,0.1897408981742186,0.04424226514609195,0.9803173955746708,1.0300845982366869,1.0507664179853118,0.0800930481859552,0.3090366472798625,12.0,0.8182090517412086
1,2,120,62,0.09237340569756275,0.26796626220846753,0.071766340187819,1.00970388062956,1.0415284323706255,1.0315186980575164,0.058501454382378505,0.3222787872246535,12.0,0.8214202224349372
1,3,120,62,0.12820018658341534,0.4094378336093514,0.11872380027892335,0.9564151349565544,1.0485320223119,1.0963147528604615,0.027341317448901156,0.23983117854265912,11.0,1.2280725766666003
2,1,120,62,0.020012156302167784,0.05526392390025228,0.008323507134437995,0.90574420347488,1.5006401700975025,1.6568035040581095,0.22656531136409447,0.44920300743484914,10.0,0.6995790032152895
2,2,120,62,0.025532404804666668,0.10597664020610822,0.012678110084026108,0.9236153160373782,1.3136531829226192,1.4222947152485899,0.14091372506312325,0.5365407195105519,10.0,0.7446212186676583
2,3,120,62,0.03012949849044425,0.1240142948044194,0.01664266424621203,0.9479143497124568,1.186871544177486,1.2520873268112411,0.17495228906272497,0.38900833290272785,10.0,0.7175381326986221
3,1,120,62,0.027239924699799543,0.01297769194569662,0.011842393556689649,0.9038303958488679,1.2107069152438685,1.3395288771039675,0.26934318892907955,0.8094756883076306,10.0,0.5983133902839801
3,2,120,62,0.03152828666270449,0.01673332806738708,0.01480439097686043,0.931740062044895,1.1402996686996192,1.2238388313978872,0.24919371721317993,0.638123952853902,10.75,0.5950362331189767
3,3,120,62,0.027368174568567046,0.04793563688118716,0.01565625460774329,0.8690927632375894,1.1961230054575924,1.3762892248713854,0.14944481432144555,0.3814994700736297,11.0,0.5778676254336104
4,1,120,62,0.012765448564328319,0.028934927448627287,0.004065959011220197,0.9239318677536966,1.527864285444113,1.653654710664676,0.20631994524361463,0.6791566888718942,8.0,0.35340275585198033
4,2,120,62,0.03434540357812824,0.11913924741844047,0.02017095036579273,0.975617683435022,1.0946505226765422,1.1220076688466953,0.10846950102473829,0.40998895614280684,10.5,0.443358692807156
4,3,120,62,0.042405975190733795,0.12725127234841355,0.024083947047186582,0.95215885094187,1.1640434124522596,1.2225306851906008,0.12337342819662478,0.4613577975965289,9.0,0.4196484694476249
5,1,120,62,0.1437629913219416,0.2254630005723365,0.11172039899785131,0.9337890662117877,1.0247516080108972,1.0974123012257233,0.04681510731024371,0.29730633417835006,10.0,1.041781833774793
5,2,120,62,0.1460571673687602,0.20910185458683384,0.11423945924291781,0.9876747123856731,1.0231073746591086,1.0358748298696945,0.07202475242236532,0.2727009599768117,10.0,1.1059881994214011
5,3,120,62,0.12252162000731907,0.1873563490333987,0.08927695122453255,0.9847715800027571,1.0312309938771187,1.0471778581122655,0.045193630814891514,0.314769914651006,10.0,1.0537758897019427
6,1,120,62,0.043256448799069515,0.08795183159521758,0.02842723831525786,0.8875243041073325,1.13761250533803,1.2817818059441592,0.136896035593638,0.4687116523550122,10.0,0.6478941690269963
6,2,120,62,0.025675454817179026,0.06265645708481861,0.013840605497475324,0.8792556997048702,1.2086647878078483,1.3746453826953264,0.21652936163038233,0.42202966903624695,11.0,0.587781807557525
6,3,120,62,0.023898786105217062,0.11596863387287173,0.012512683066468367,0.9612649584955659,1.1453625476599065,1.1915159681389653,0.1540484563949242,0.40080156023494934,11.0,0.7120600583465475
7,1,120,62,0.03276393362278723,0.07177188121062013,0.01684730598942136,0.8810713075842119,1.173666042132331,1.3320897321584306,0.1704324542390468,0.4852077217887245,10.0,0.4302180414730245
7,2,120,62,0.03006359277871862,0.06315639331712518,0.015370811336528156,0.7545612976196114,1.4895025815325291,1.9739981181534378,0.3077745290853537,0.6057695093646527,10.5,0.414432692372876
7,3,120,62,0.022577504239370508,0.05084461365726542,0.010328781502262147,0.8556136282058868,1.430015174627635,1.671332862738752,0.1477882914596131,0.6263857291030631,11.0,0.46884130543853525
8,1,120,62,0.052632242727024076,0.11320722621475193,0.03774633548138004,0.9768329527146659,1.0789207942798718,1.104509006664342,0.06917105282254978,0.3685328525567623,10.0,0.5288907014836253
8,2,120,62,0.05122911400607261,0.21861142598615918,0.03888072183087985,0.9405111850588861,1.0846064525842762,1.1532095203273613,0.1058014557978321,0.33867127064993635,10.0,0.43643883220159974
8,3,120,62,0.03732916534671102,0.0194699282639545,0.018725265223521016,0.8231198546348497,1.2380565327943969,1.504102380501586,0.23831233314828204,0.8633224121296478,9.0,0.45359930036984475
9,1,120,62,0.06161376883048709,0.044698162209514496,0.04412785007518212,0.9260123050698903,1.0396304739627806,1.1226961761424057,0.13943192181891534,0.2771432162271176,11.0,0.7621896734912257
9,2,120,62,0.07135055013213255,0.16658590018350422,0.05405157257727284,0.9683543403084552,1.0371318082233187,1.0710251041916696,0.0687046575089692,0.2839233110179686,11.0,0.7604169151814946
9,3,120,62,0.0612096686944159,0.0826910241623637,0.045139840307638505,0.925649430074353,1.112227034233498,1.2015640026312748,0.08556383746594422,0.3361876912540106,11.0,0.8336588511639584
10,1,120,62,0.026371862083397847,0.1333698474722563,0.014679640433191095,0.985114476532923,1.076922105611759,1.0931948837072722,0.103120856199723,0.3234368411971034,10.0,0.48833492105827914
10,2,120,62,0.0355884157712238,0.10817976081021345,0.02221867213657935,0.8855206127215578,1.1034940071151877,1.2461528181977728,0.12411752738160543,0.4054730878862957,10.0,0.5784920646158387
10,3,120,62,0.02300489713441081,0.047659219854031536,0.01117228140088749,0.9361361823905284,1.2288592148302842,1.3126927875944874,0.25520385969517234,0.3754075039687595,10.0,0.5123522644974394
11,1,120,62,0.015327589137377482,0.023350158292967535,0.005440386252478062,0.9608382491465774,1.2336722692714,1.2839541622818986,0.21628713217879242,0.4528869448491371,11.0,0.39693039844785827
11,2,120,62,0.015856835297744266,0.12367158603266025,0.007276769821358358,0.8749386982146693,1.4218335033386935,1.6250664260707344,0.1503884298506737,0.6121917195404758,11.0,0.38058532134942735
11,3,120,62,0.012869437703547593,0.0704431467494895,0.004345011516926948,0.9551332329312205,1.395135064783894,1.460670633878319,0.17260482390733106,0.5312908878076684,11.0,0.4268703269565186
12,1,120,62,0.016909268636462863,0.08301696357253226,0.007279496745634517,0.9720881768127145,1.123109952927388,1.1553581040455034,0.1635094538204007,0.378567206703122,11.0,0.5247097996069492
12,2,120,62,0.05857117715906848,0.2136593341677912,0.04349853277999169,0.9916371744884372,1.0502780227874304,1.0591353872239053,0.04811425516423369,0.3291450139016421,11.75,0.6046865732032058
12,3,120,62,0.016375457172692846,0.06192826865760985,0.006266870775360038,0.9247870403533782,1.4676595166692397,1.5870243122226495,0.16539711120460054,0.6410546604698507,10.0,0.48342638808938126
13,1,120,62,0.01539337597229544,0.09075398776510661,0.0063516181012424735,0.9589124166834053,1.2170679289761661,1.269216987705347,0.15819842618142274,0.39908008584853266,11.0,0.42347135723362866
13,2,120,62,0.02242064708549713,0.0861202064133551,0.01084800314782909,0.8349668507029675,1.3611966033457823,1.6302402930125626,0.2966809334441042,0.5322877858592413,11.0,0.5384510104469628
13,3,120,62,0.010592431808284945,0.059172398733147814,0.0029650938378472783,0.930510738168196,1.7645247665037365,1.8962970486266295,0.28240920636654965,0.7062884671946332,10.0,0.4268610184698126
14,1,120,62,0.02424636424783565,0.07951932572477333,0.01161769280929675,0.9010646217906499,1.221202324691859,1.3552882836139013,0.2287895058272803,0.4624224229788565,10.25,0.4374168170443054
14,2,120,62,0.024084824579467246,0.10380384780128113,0.011464590517671196,0.9388750323159615,1.1635007289481827,1.23924983506924,0.18601308217668425,0.3508314393753924,9.0,0.3918950267849565
14,3,120,62,0.03965529227600098,0.1205638390086459,0.02571462276920083,0.8526967504895127,1.1760576159902165,1.379221411732917,0.10917026262447375,0.5167792174546365,10.0,0.524636782532203
15,1,120,62,0.051961054500817304,0.11758121566073329,0.040864179485471296,0.9481408895427584,1.04274171869968,1.0997750758355573,0.03405436788241372,0.29299028409089656,11.25,0.5565704421150254
15,2,120,62,0.04628917187339706,0.10998456260082325,0.03271250300447913,0.924193683947507,1.0667424207851515,1.1542411935004535,0.09002404875112642,0.3249931840100799,11.0,0.6036525339761374
15,3,120,62,0.03604353975736619,0.15499419904511105,0.02343896567715664,0.9380878590374413,1.082747049931271,1.1542064418595743,0.12295157005189226,0.34648737003793945,12.0,0.5189939430217576
16,1,120,62,0.02354275520429156,0.08119247100971759,0.010928414208194731,0.9538763089383987,1.188881862674478,1.2463690014459263,0.13391533604346,0.5028827624464853,10.0,0.5094739935064272
16,2,120,62,0.04922680984383222,0.1067585125044991,0.031895430239050844,0.83254723889202,1.251656010089253,1.50340539445545,0.0909386482419293,0.6124685426375237,10.0,0.6674961045644981
16,3,120,62,0.03292306305819472,0.04206925239213733,0.017558876687105707,0.8301369434274354,1.401026585527901,1.6877053799622503,0.2702448024044636,0.5627787729092516,10.0,0.5570878049172501
17,1,120,62,0.017689456894436628,0.08780912268140234,0.008229768022666298,0.9669850417929094,1.1186323418697266,1.1568248664898109,0.16550654147706517,0.3435213020723367,11.0,0.5400522384524815
17,2,120,62,0.04330172993501414,0.13806693401610706,0.02938021139038324,0.8961276949282543,1.15780050617994,1.292003932846463,0.07540143616960211,0.4688627779820006,11.0,0.5449272855316478
17,3,120,62,0.04613252228030153,0.18401319262122934,0.03405442332367833,0.9355348227809485,1.053436941770752,1.1260264354878107,0.09130675827507956,0.3238985186615206,11.0,0.5013762556845733
18,1,120,62,0.09240580922355668,0.23350632014876355,0.0710969774585113,0.9660608150621476,1.050673138827738,1.08758488331829,0.05947137876534019,0.3514988355802724,12.0,0.8655732675723262
18,2,120,62,0.07803293978249909,0.354508142683451,0.06825990510555265,0.9724326516629528,1.0222121845741539,1.0511907254719115,0.048422954147749664,0.23024389430266154,11.0,0.8674217157163744
18,3,120,62,0.11206089438356139,0.2251022491003052,0.08830716238912176,0.9874732593870916,1.0409019426092971,1.0541064608224104,0.055896760201783996,0.31138087127431985,10.5,0.8516814068305681
