subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A11,A,CE,ok,,27,512,61440,0.126176,0.0845567,0.0820333,0.9779,1.04934,1.07306,0.134455,0.391001,11,1.03757
A14,A,CE,ok,,27,512,61440,0.0541761,0.111684,0.0290974,1.03401,1.16088,1.12271,0.0840169,0.645848,10,0.804628
A17,A,CE,ok,,27,512,61440,0.0426596,0.032257,0.0224977,0.905474,1.21212,1.33865,0.188121,0.768722,12,0.554585
A2,A,CE,ok,,27,512,61440,0.0541612,0.0764755,0.0284935,0.942326,1.28738,1.36617,0.202817,0.782467,10,0.7897
A22,A,CE,ok,,27,512,61440,0.0364882,0.0693885,0.0204791,0.973293,1.06013,1.08922,0.190101,0.438907,10,0.737169
A25,A,CE,ok,,27,512,61440,0.124637,0.0932227,0.0825738,0.876492,1.1609,1.32448,0.0860658,0.645177,11,0.685399
A28,A,CE,ok,,27,512,61440,0.0421138,0.172581,0.0311932,0.920343,1.04018,1.13021,0.167875,0.27653,10,0.92339
A30,A,CE,ok,,27,512,61440,0.029587,0.0893589,0.0155289,0.995586,1.16841,1.17359,0.164218,0.646696,11,0.31697
A33,A,CE,ok,,27,512,61440,0.113751,0.144216,0.0697295,1.02872,1.0443,1.01514,0.0990213,0.496877,11,0.279246
A36,A,CE,ok,,27,512,61440,0.0529878,0.13905,0.030862,1.03511,1.11212,1.0744,0.214844,0.454783,11,0.431879
A39,A,CE,ok,,27,512,61440,0.0904571,0.123028,0.0577935,0.975073,1.05298,1.0799,0.187868,0.410086,11,1.2026
A41,A,CE,ok,,27,512,61440,0.078162,0.205873,0.0603937,0.928947,1.02476,1.10315,0.145442,0.304602,9,0.856172
A44,A,CE,ok,,27,512,61440,0.0647846,0.0293653,0.0264539,1.3423,1.11654,0.831815,0.13093,0.985016,10,0.45785
A47,A,CE,ok,,27,512,61440,0.0417879,0.0702346,0.0256739,0.97686,1.0911,1.11695,0.128674,0.509325,11,0.382479
A5,A,CE,ok,,27,512,61440,0.290978,0.310165,0.247447,0.98116,1.01081,1.03022,0.0531718,0.239186,11,0.854852
A52,A,CE,ok,,27,512,61440,0.225798,0.281052,0.186913,0.936398,1.01849,1.08767,0.0849158,0.284542,10,0.95842
A55,A,CE,ok,,27,512,61440,0.23608,0.178245,0.183666,0.861209,1.06807,1.2402,0.0482173,0.447563,11,0.962251
A58,A,CE,ok,,27,512,61440,0.0276517,0.0548342,0.0150245,0.915638,1.09683,1.19789,0.123018,0.685511,10,0.244034
A60,A,CE,ok,,27,512,61440,0.0123035,0.0353278,0.00624735,0.911373,1.24688,1.36813,0.229101,0.596651,11,0.564056
A9,A,CE,ok,,27,512,61440,0.535056,0.493383,0.476905,0.998997,0.989804,0.990798,0.043207,0.0800192,11,1.27312
B63,B,CE,ok,,27,512,61440,0.117143,0.162518,0.0825866,0.976628,1.02592,1.05047,0.163283,0.345407,10,0.801246
B66,B,CE,ok,,27,512,61440,0.386696,0.370732,0.313718,0.999436,0.997828,0.998391,0.0536163,0.216899,12,0.448073
B69,B,CE,ok,,27,512,61440,0.0551973,0.152522,0.0375266,0.961108,1.08216,1.12595,0.118278,0.417384,11,0.741156
