subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A10,A,OE,ok,,27,512,61440,0.0317022,0.0801054,0.0195701,0.938333,1.00307,1.06899,0.192355,0.272242,12,0.612227
A13,A,OE,ok,,27,512,61440,0.238735,0.234641,0.178317,0.938137,1.0293,1.09717,0.0844531,0.350061,10,0.650586
A16,A,OE,ok,,27,512,61440,0.0476549,0.175521,0.0307539,1.02967,1.08973,1.05833,0.0719252,0.5053,9,0.0589166
A19,A,OE,ok,,27,512,61440,0.0265655,0.0888603,0.0153424,0.910636,1.19315,1.31024,0.190431,0.5489,11,0.582317
A21,A,OE,ok,,27,512,61440,0.0332093,0.0742645,0.0220295,1.01393,1.02121,1.00718,0.153802,0.38635,11,0.408035
A24,A,OE,ok,,27,512,61440,0.0163582,0.0461418,0.00812437,0.960704,1.17568,1.22377,0.260832,0.619585,10,0.631865
A27,A,OE,ok,,27,512,61440,0.0135312,0.0508886,0.00760693,0.994106,0.95497,0.960632,0.202753,0.491106,11,0.413676
A3,A,OE,ok,,27,512,61440,0.0668572,0.1671,0.041437,0.99219,1.08417,1.0927,0.0710584,0.524292,10,0.375503
A32,A,OE,ok,,27,512,61440,0.12183,0.0546094,0.0625028,0.936146,0.843534,0.901071,0.222077,0.373034,11,0.348464
A35,A,OE,ok,,27,512,61440,0.29089,0.208206,0.225962,0.869497,1.0613,1.22059,0.15471,0.369765,10,0.447587
A38,A,OE,ok,,27,512,61440,0.0206958,0.153988,0.0126852,1.01015,1.0109,1.00074,0.10964,0.429523,12,0.449068
A40,A,OE,ok,,27,512,61440,0.0475717,0.156401,0.0296972,0.940073,1.10572,1.17621,0.0850728,0.561414,10,0.127864
A43,A,OE,ok,,27,512,61440,0.1004,0.0714181,0.0503368,0.984363,0.951764,0.966883,0.187815,0.427706,8,0.128846
A46,A,OE,ok,,27,512,61440,0.0304196,0.0999058,0.0178936,0.917068,1.15414,1.25851,0.181589,0.538897,8,0.262206
A49,A,OE,ok,,27,512,61440,0.0827539,0.105113,0.0485461,1.02559,1.06366,1.03712,0.0905307,0.528672,9,0.50304
A51,A,OE,ok,,27,512,61440,0.0305514,0.205165,0.0183856,1.0454,1.11361,1.06525,0.0661487,0.542829,8,0.514488
A54,A,OE,ok,,27,512,61440,0.0765978,0.146114,0.052922,0.827186,1.10927,1.34102,0.0748125,0.511938,8,0.349403
A57,A,OE,ok,,27,512,61440,0.0365972,0.0836107,0.0203702,0.901738,1.21677,1.34936,0.144576,0.596735,10,0.60265
A6,A,OE,ok,,27,512,61440,0.112365,0.171839,0.0835876,0.831844,1.12453,1.35185,0.0537053,0.534756,9,1.24024
A8,A,OE,ok,,27,512,61440,0.0410363,0.10924,0.0249663,0.943814,1.07233,1.13617,0.242024,0.397439,11,0.530406
B62,B,OE,ok,,27,512,61440,0.0765749,0.128978,0.0530664,0.880856,1.04049,1.18123,0.140048,0.39857,9,0.669198
B65,B,OE,ok,,27,512,61440,0.0102775,0.0860481,0.00539233,0.899644,1.29941,1.44436,0.157468,0.788831,7,0.14543
B68,B,OE,ok,,27,512,61440,0.0248981,0.16128,0.0163027,0.937335,1.03707,1.1064,0.134126,0.433498,11,0.191082
