subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A1,A,CE,ok,,27,512,61440,0.147175,0.150368,0.0994638,1.00943,1.04087,1.03114,0.108588,0.422734,9,1.37315
A12,A,CE,ok,,27,512,61440,0.0368933,0.103842,0.0184263,1.02117,1.12888,1.10548,0.0794495,0.74711,9,0.107226
A15,A,CE,ok,,27,512,61440,0.155851,0.0976887,0.0768968,1.13472,1.15864,1.02108,0.11288,0.7076,9,1.06909
A18,A,CE,ok,,27,512,61440,0.0231342,0.146158,0.0160684,0.890473,1.06414,1.19503,0.122199,0.450069,11,0.331684
A20,A,CE,ok,,27,512,61440,0.457718,0.100711,0.147195,1.50936,1.18709,0.78649,0.0818643,1.00432,12,0.152414
A23,A,CE,ok,,27,512,61440,0.198239,0.287407,0.153663,0.928365,1.08967,1.17375,0.0212116,0.432435,10,0.736486
A26,A,CE,ok,,27,512,61440,0.514886,0.47097,0.451,0.99797,1.00229,1.00433,0.0643038,0.170777,11,1.28323
A29,A,CE,ok,,27,512,61440,0.039441,0.130007,0.0262964,0.893708,1.14432,1.28042,0.062483,0.565265,11,0.707164
A31,A,CE,ok,,27,512,61440,0.101146,0.265403,0.0737407,0.959465,1.06191,1.10677,0.0693595,0.424512,10,0.715033
A34,A,CE,ok,,27,512,61440,0.205892,0.137299,0.138996,0.927802,1.01989,1.09925,0.113732,0.356528,10,1.13878
A37,A,CE,ok,,27,512,61440,0.086389,0.134667,0.0633788,0.91071,1.05367,1.15697,0.157198,0.377526,10,0.687253
A4,A,CE,ok,,27,512,61440,0.00523435,0.0726234,0.00242088,0.965541,1.0024,1.03818,0.1825,0.35887,10,0.0529931
A42,A,CE,ok,,27,512,61440,0.196131,0.251117,0.14137,1.00586,1.01855,1.01261,0.0738621,0.357317,10,0.773766
A45,A,CE,ok,,27,512,61440,0.0262481,0.119873,0.0144125,0.988685,1.09914,1.11171,0.150732,0.552346,8,0.486168
A48,A,CE,ok,,27,512,61440,0.137686,0.220417,0.0949239,1.00403,1.01367,1.0096,0.105295,0.348674,10,0.368755
A50,A,CE,ok,,27,512,61440,0.463984,0.41312,0.393119,0.970769,1.00523,1.0355,0.0744154,0.203795,9,1.0996
A53,A,CE,ok,,27,512,61440,0.161167,0.237965,0.123206,0.906392,1.07117,1.18179,0.0421112,0.41559,10,0.519448
A56,A,CE,ok,,27,512,61440,0.106442,0.156859,0.0783832,0.82588,1.12155,1.35801,0.0856422,0.524683,8,0.993246
A59,A,CE,ok,,27,512,61440,0.186375,0.225721,0.138727,0.962831,1.01724,1.05651,0.0632508,0.328998,10,1.42566
A7,A,CE,ok,,27,512,61440,0.0463695,0.151962,0.0312,0.96667,1.08856,1.12609,0.0956268,0.450147,11,0.567671
B61,B,CE,ok,,27,512,61440,0.202941,0.166106,0.136446,0.977728,1.04547,1.06929,0.0715414,0.461133,10,0.941031
B64,B,CE,ok,,27,512,61440,0.186495,0.0678915,0.106643,0.884899,1.13935,1.28755,0.248928,0.464656,11,1.36863
B67,B,CE,ok,,27,512,61440,0.24319,0.128105,0.161833,0.945156,0.987817,1.04514,0.0980629,0.323325,9,0.742901
B70,B,CE,ok,,27,512,61440,0.0634184,0.252808,0.0455277,1.01919,0.992315,0.973626,0.0619726,0.300174,9,0.226114
