subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A1,A,OE,ok,,27,512,61440,0.127068,0.16817,0.0872999,0.839122,1.22161,1.45582,0.0484011,0.637279,9,1.04278
A12,A,OE,ok,,27,512,61440,0.00581398,0.0847864,0.0031442,0.935067,1.00479,1.07456,0.200906,0.458521,7,0.0886882
A15,A,OE,ok,,27,512,61440,0.173526,0.176052,0.10502,1.01028,1.08967,1.07858,0.0846849,0.526819,9,0.711373
A18,A,OE,ok,,27,512,61440,0.72351,0.626258,0.673573,1.00071,1.00707,1.00636,0.0133804,0.162793,12,0.084451
A20,A,OE,ok,,27,512,61440,0.0465747,0.056483,0.0278491,0.822397,1.13996,1.38614,0.229534,0.589156,12,0.54604
A23,A,OE,ok,,27,512,61440,0.028795,0.0982299,0.0140935,1.08199,1.16661,1.07821,0.138521,0.680469,7,0.372639
A26,A,OE,ok,,27,512,61440,0.0355544,0.0592539,0.0207024,0.715909,1.48084,2.06848,0.0743624,0.996913,12,0.247796
A29,A,OE,ok,,27,512,61440,0.0129601,0.0801677,0.00683406,0.950785,1.21879,1.28188,0.287281,0.568633,11,0.442668
A31,A,OE,ok,,27,512,61440,0.0309815,0.104272,0.0202195,0.849782,1.11612,1.31342,0.256817,0.441334,10,0.390648
A34,A,OE,ok,,27,512,61440,0.150144,0.0524519,0.0787143,0.915965,0.932222,1.01775,0.177923,0.413307,11,0.437826
A37,A,OE,ok,,27,512,61440,0.0584575,0.190694,0.0401766,0.960642,1.00365,1.04477,0.185406,0.283605,13,0.324583
A4,A,OE,ok,,27,512,61440,0.748571,0.621182,0.667228,1.00671,1.01237,1.00562,0.00143918,0.222348,13,0.0902069
A42,A,OE,ok,,27,512,61440,0.0282471,0.152867,0.0189334,0.948938,1.05472,1.11147,0.165997,0.394055,10,0.12623
A45,A,OE,ok,,27,512,61440,0.0143288,0.0592133,0.00625301,1.05711,1.12981,1.06877,0.179072,0.809293,8,0.228739
A48,A,OE,ok,,27,512,61440,0.0218382,0.0677153,0.0115832,0.955031,1.03933,1.08827,0.154696,0.589208,11,0.107595
A50,A,OE,ok,,27,512,61440,0.0783323,0.111231,0.0561385,0.727386,1.26734,1.74232,0.0568536,0.687535,10,0.3505
A53,A,OE,ok,,27,512,61440,0.0590584,0.185924,0.0387604,0.97462,1.03028,1.05711,0.0857012,0.424178,11,0.411335
A56,A,OE,ok,,27,512,61440,0.143671,0.164245,0.101747,0.933975,1.01507,1.08683,0.143345,0.34049,8,0.713502
A59,A,OE,ok,,27,512,61440,0.287229,0.197859,0.187734,1.00112,0.941643,0.940585,0.096742,0.264436,9,0.684659
A7,A,OE,ok,,27,512,61440,0.0508289,0.0728042,0.0259334,1.01445,1.19397,1.17697,0.0837779,0.775577,9,0.384533
B61,B,OE,ok,,27,512,61440,0.061529,0.0945102,0.0351255,1.0289,1.04673,1.01733,0.0795504,0.556018,10,0.569538
B64,B,OE,ok,,27,512,61440,0.230052,0.0979146,0.143981,0.963518,1.03827,1.07758,0.0988199,0.402989,10,0.930376
B67,B,OE,ok,,27,512,61440,0.164246,0.0615293,0.0906953,0.924743,0.884767,0.956771,0.152539,0.407197,9,0.279808
B70,B,OE,ok,,27,512,61440,0.0742386,0.0836216,0.0358435,1.15124,1.08865,0.945636,0.110237,0.658491,10,0.325738
